iter	Passed	Remaining
401	12618	18770
402	12645	18733
403	12676	18700
404	12710	18673
405	12743	18644
406	12775	18614
407	12806	18581
408	12840	18554
409	12875	18527
410	12906	18495
411	12941	18469
412	12969	18433
413	12998	18399
414	13028	18365
415	13061	18335
416	13089	18299
417	13119	18267
418	13150	18235
419	13182	18205
420	13214	18173
421	13248	18145
422	13273	18106
423	13301	18070
424	13332	18037
425	13363	18006
426	13396	17976
427	13422	17939
428	13457	17912
429	13487	17878
430	13516	17844
431	13551	17817
432	13583	17787
433	13612	17753
434	13641	17718
435	13674	17689
436	13708	17661
437	13740	17629
438	13768	17594
439	13802	17566
440	13866	17576
441	13895	17542
442	13923	17506
443	13951	17470
444	13984	17441
445	14015	17409
446	14047	17378
447	14079	17347
448	14108	17313
449	14137	17278
450	14163	17241
451	14190	17204
452	14215	17165
453	14246	17132
454	14277	17101
455	14307	17068
456	14340	17039
457	14368	17003
458	14396	16968
459	14433	16943
460	14463	16911
461	14503	16889
462	14537	16860
463	14573	16834
464	14606	16805
465	14638	16774
466	14674	16748
467	14704	16715
468	14734	16681
469	14764	16649
470	14796	16619
471	14824	16583
472	14849	16544
473	14878	16510
474	14907	16476
475	14936	16442
476	14967	16410
477	14996	16376
478	15023	16341
479	15056	16310
480	15086	16278
481	15114	16242
482	15146	16212
483	15174	16177
484	15205	16145
485	15236	16114
486	15269	16085
487	15298	16050
488	15328	16017
489	15359	15985
490	15387	15951
491	15415	15917
492	15446	15884
493	15479	15855
494	15509	15823
495	15539	15789
496	15569	15757
497	15599	15725
498	15633	15695
499	15664	15664
500	15692	15629
501	15722	15596
502	15752	15564
503	15783	15532
504	15811	15498
505	15841	15465
506	15867	15429
507	15900	15399
508	15931	15367
509	15957	15331
510	15985	15296
511	16015	15265
512	16044	15231
513	16075	15199
514	16105	15167
515	16134	15133
516	16164	15101
517	16194	15068
518	16224	15036
519	16256	15005
520	16286	14973
521	16313	14938
522	16345	14907
523	16376	14876
524	16406	14844
525	16440	14815
526	16467	14779
527	16495	14745
528	16521	14710
529	16553	14679
530	16584	14648
531	16614	14616
532	16644	14583
533	16671	14548
534	16698	14513
535	16724	14477
536	16753	14445
537	16784	14413
538	16810	14377
539	16834	14340
540	16862	14307
541	16892	14274
542	16919	14240
543	16956	14213
544	16986	14181
545	17012	14146
546	17045	14116
547	17078	14087
548	17110	14055
549	17142	14025
550	17171	13992
551	17199	13959
552	17225	13923
553	17254	13890
554	17282	13856
555	17307	13821
556	17339	13790
557	17365	13755
558	17394	13722
559	17420	13687
560	17447	13653
561	17474	13618
562	17504	13586
563	17530	13552
564	17562	13521
565	17594	13491
566	17627	13461
567	17659	13430
568	17687	13397
569	17720	13368
570	17751	13336
571	17778	13303
572	17811	13273
573	17839	13239
574	17868	13207
575	17899	13175
