iter	R2	RMSE
89	0.9485318861	872.8822926
90	0.9487579569	870.96314
91	0.9489129843	869.6446379
92	0.9490880374	868.1534119
93	0.9492233296	866.9991392
94	0.9493582123	865.8468296
95	0.9495702971	864.0318695
96	0.9497241292	862.7130297
97	0.9499025917	861.1804981
98	0.9500186214	860.1826377
99	0.9501252354	859.264731
100	0.9502663974	858.047868
101	0.9503714747	857.1409463
102	0.9505286234	855.7828015
103	0.9507089108	854.2220235
104	0.9508388475	853.0953691
105	0.950971262	851.9456979
106	0.9510778646	851.0190061
107	0.9512131791	849.8412674
108	0.9513465486	848.6788583
109	0.9514670677	847.6270791
110	0.9515735084	846.697076
111	0.9517303656	845.324705
112	0.9518372395	844.3883687
113	0.9519480932	843.4160664
114	0.9521020412	842.0639205
115	0.9522762146	840.5315098
116	0.9524436038	839.0561502
117	0.9525685764	837.9529547
118	0.9526639129	837.1103945
119	0.9527339617	836.4907795
120	0.9527993949	835.9115764
121	0.9528908859	835.1010413
122	0.9530120021	834.0268403
123	0.9531203864	833.0643857
124	0.9531862725	832.4787723
125	0.9532992697	831.4734627
126	0.9533599136	830.9334268
127	0.9534627946	830.0164638
128	0.9536069075	828.7303013
129	0.9537178861	827.7384891
130	0.9538138345	826.8800432
131	0.9538854698	826.2385441
132	0.9539808676	825.3834761
133	0.9540334822	824.911502
134	0.9541417804	823.9391733
135	0.9542264372	823.1783034
136	0.9543083453	822.4414682
137	0.9544028402	821.5905823
138	0.9544871941	820.8302673
139	0.9545964146	819.8447719
140	0.9547021423	818.8896618
141	0.9547854415	818.1363782
142	0.9548600612	817.460995
143	0.9549676678	816.4860644
144	0.9550439573	815.7941647
145	0.9551272251	815.0383056
146	0.9551890516	814.476625
147	0.9552571347	813.8576552
148	0.9553453161	813.055265
149	0.9554318592	812.2670114
150	0.9554883237	811.7523074
151	0.9555583497	811.1135296
152	0.9556438974	810.3324794
153	0.9557213554	809.6246384
154	0.9557858818	809.0344979
155	0.9558761219	808.2084651
156	0.9559310916	807.7048736
157	0.9560042723	807.0339582
158	0.9560809638	806.3302582
159	0.9561579859	805.6229048
160	0.9562328239	804.9350149
161	0.9562889408	804.4188187
162	0.9563734392	803.6409267
163	0.9564711794	802.7401903
164	0.9565610276	801.9112906
165	0.9566092503	801.4660563
166	0.9566746092	800.8622094
167	0.956745021	800.2111704
168	0.9568164055	799.5505958
169	0.9568743216	799.0142537
170	0.9569636442	798.1863594
171	0.9570084279	797.7709541
172	0.9570670691	797.2266824
173	0.9571453106	796.4999132
174	0.9572119838	795.8800755
175	0.9572744889	795.2985493
176	0.9573385662	794.7019529
177	0.9573963991	794.1631117
178	0.9574412168	793.7452838
179	0.9575016991	793.1810694
180	0.9575691339	792.5515236
181	0.9576139015	792.1333134
182	0.9576912728	791.4100058
183	0.957749217	790.8678797
184	0.957794758	790.4415377
185	0.957869084	789.7452228
186	0.9579133179	789.3305313
187	0.9579730462	788.7702337
188	0.9580101143	788.422306
189	0.9580680426	787.8782742
190	0.9581270992	787.3232577
191	0.9581760167	786.8632328
192	0.9582313265	786.3427706
193	0.9582853824	785.8337742
194	0.958345083	785.2712422
195	0.958408824	784.6701958
196	0.9584430702	784.3470801
197	0.9585013268	783.7971183
198	0.9585522816	783.3157717
199	0.9585937775	782.9235608
200	0.9586524233	782.3689167
201	0.958700146	781.9172867
202	0.9587277274	781.6561482
203	0.958760843	781.3424974
204	0.9588320753	780.6674002
205	0.9588742762	780.26717
206	0.958924578	779.7898425
207	0.958955433	779.4969061
208	0.9590026492	779.0484249
209	0.959049437	778.603757
210	0.9590963764	778.1573936
211	0.9591614683	777.5379876
212	0.9591928745	777.2389537
213	0.9592493596	776.7008421
214	0.9592892371	776.3207192
215	0.9593380247	775.8554097
216	0.9593808705	775.4465401
217	0.9594123169	775.1463154
218	0.9594796698	774.5028932
219	0.9595337493	773.9858853
220	0.9595752499	773.5888981
221	0.9596171483	773.1878999
222	0.9596593934	772.7833719
223	0.9596944527	772.4474936
224	0.959730571	772.101316
225	0.9597714301	771.7095126
226	0.9598106893	771.3328634
227	0.9598586836	770.8721614
228	0.9599035726	770.4410169
229	0.9599457274	770.0359146
230	0.9599820052	769.6871185
231	0.9600241026	769.2821718
232	0.9600903203	768.6447728
233	0.9601190232	768.3683195
234	0.9601634489	767.9402359
235	0.9601975281	767.6116881
236	0.9602324081	767.2752752
237	0.9602666706	766.944674
238	0.9603104115	766.5224077
239	0.9603786611	765.8630738
240	0.9604155014	765.5069372
241	0.9604502916	765.1704672
242	0.9604739013	764.9420439
243	0.9605091343	764.6010392
244	0.9605429162	764.2739358
245	0.9605711216	764.0007212
246	0.9605945316	763.7738831
247	0.960642038	763.3133495
248	0.9606784048	762.9606171
249	0.9607030663	762.7213243
250	0.9607298587	762.4612706
251	0.9607762018	762.011244
252	0.9607997047	761.7829115
253	0.960836481	761.4254884
254	0.9608656628	761.1417568
255	0.960899058	760.8169277
256	0.9609285605	760.5298469
257	0.9609663592	760.1618805
258	0.9610002567	759.8317396
259	0.9610293496	759.5482783
260	0.9610561111	759.2874397
261	0.9610995373	758.8639816
262	0.961131283	758.5542733
263	0.9611609379	758.264849
264	0.9611921083	757.9605136
265	0.9612158355	757.7287697
266	0.9612598758	757.2984383
267	0.9612972928	756.9326326
268	0.9613270241	756.6418401
269	0.9613537808	756.3800458
270	0.9613773476	756.1493868
271	0.961413104	755.7992887
272	0.9614503844	755.4340967
273	0.961473674	755.2058654
274	0.9614979635	754.9677627
275	0.9615728368	754.2333286
276	0.9616130818	753.8382678
277	0.9616411334	753.5627807
278	0.9616697383	753.2817552
279	0.9616960038	753.0236215
280	0.9617223232	752.7648681
281	0.9617655426	752.3397747
282	0.9617980206	752.0201715
283	0.9618208807	751.7951329
284	0.961840564	751.6013133
285	0.9618969419	751.0458887
286	0.9619220406	750.7984889
287	0.9619499867	750.522926
288	0.9619728529	750.297379
289	0.9619903078	750.125161
290	0.9620128355	749.9028348
291	0.9620338702	749.6951834
292	0.9620622129	749.4152978
293	0.9620823548	749.2163326
294	0.9621123144	748.920287
295	0.9621396983	748.6495916
296	0.9621640158	748.4091257
297	0.9621896838	748.1552213
298	0.9622103131	747.9510967
299	0.9622464367	747.5935245
300	0.9622749721	747.310943
301	0.962338589	746.6805695
302	0.9623587322	746.4808621
303	0.9623857738	746.2126769
304	0.9624061348	746.0106831
305	0.9624263803	745.8097804
306	0.9624500341	745.5749881
307	0.9624743604	745.3334435
308	0.9624934712	745.1436297
309	0.9625192147	744.8878618
310	0.9625432886	744.6486031
311	0.9625609652	744.4728744
312	0.9625791411	744.2921391
313	0.9626105885	743.979333
314	0.9626299431	743.7867476
315	0.9626544649	743.5426756
316	0.9626694804	743.3931827
317	0.962694662	743.1424094
318	0.9627156961	742.9328749
319	0.9627377998	742.712621
320	0.9627575874	742.5153912
321	0.9627711731	742.3799476
322	0.9627946657	742.1456773
323	0.9628329305	741.7639394
324	0.9628573377	741.5203455
325	0.9628785272	741.3088012
326	0.9629052654	741.0417746
327	0.9629309673	740.7850066
328	0.9629766183	740.328723
329	0.96300547	740.0402031
330	0.9630437574	739.6571529
331	0.963059096	739.5036401
332	0.963074197	739.3524745
333	0.9630959831	739.1343349
334	0.9631415308	738.6780663
335	0.9631719696	738.3729924
336	0.9631934308	738.1578216
337	0.9632142006	737.9495222
338	0.9632311597	737.779397
339	0.9632592432	737.4975901
340	0.9632882186	737.2067211
341	0.9633052209	737.0359903
342	0.9633418745	736.667794
343	0.963386468	736.2195905
344	0.9634054844	736.0283767
345	0.9634210358	735.8719664
346	0.9634514675	735.5657997
347	0.9634734832	735.3442254
348	0.963489273	735.1852703
349	0.9635142617	734.9336387
350	0.9635257228	734.818199
351	0.9635503575	734.5700095
352	0.9635690738	734.38139
353	0.9635864538	734.2061948
354	0.9636150582	733.9177625
355	0.9636353905	733.7126735
356	0.9636545557	733.5193046
357	0.9636768437	733.2943635
358	0.9637027881	733.0324325
359	0.9637224592	732.8337738
360	0.9637497974	732.5575954
361	0.9637708644	732.3446998
362	0.9637922233	732.1287909
363	0.9638078798	731.9704852
364	0.9638294717	731.7521086
365	0.963848591	731.5586855
366	0.9638613351	731.4297297
367	0.9638831208	731.2092308
368	0.963905456	730.9831
369	0.9639406552	730.6265885
370	0.9639613888	730.4165074
371	0.9639774578	730.2536496
372	0.9639964721	730.0608941
373	0.9640098346	729.9254024
374	0.9640292058	729.7289404
375	0.9640486286	729.5319015
376	0.9640644047	729.3718174
377	0.9640991686	729.0189373
378	0.9641161447	728.8465545
379	0.9641353908	728.6510723
380	0.9641504162	728.4984231
381	0.96416684	728.3315295
382	0.9641853482	728.1434098
383	0.9642060166	727.9332762
384	0.9642223771	727.7668978
385	0.9642405538	727.5820041
386	0.9642601956	727.3821551
387	0.9642783749	727.1971383
388	0.9642960262	727.0174489
389	0.9643107108	726.8679271
390	0.964342519	726.5439428
391	0.9643662986	726.3016402
392	0.9643969555	725.9891419
393	0.9644137054	725.8183468
394	0.9644305104	725.6469483
395	0.9644479934	725.4685933
396	0.9644722932	725.2206222
397	0.9644995588	724.9422845
398	0.9645112568	724.8228343
399	0.9645242802	724.6898266
400	0.9645379975	724.5497067
401	0.9645535939	724.3903583
402	0.9645772074	724.1490327
403	0.9646044718	723.8702962
404	0.9646341532	723.5667265
405	0.9646592748	723.309693
406	0.9646703904	723.1959343
407	0.964687366	723.0221681
408	0.9647142332	722.7470652
409	0.9647326571	722.5583542
410	0.9647525537	722.354505
411	0.9647677488	722.1987851
412	0.9647810707	722.0622349
413	0.9647917194	721.9530663
414	0.9648116855	721.748333
415	0.9648243449	721.6184922
416	0.9648418005	721.4394213
417	0.9648604924	721.2476194
418	0.964885132	720.9947077
419	0.9648938843	720.9048488
420	0.9649183843	720.6532507
421	0.9649284604	720.5497507
422	0.9649420501	720.4101368
423	0.9649603107	720.2224924
424	0.9649745343	720.0762976
425	0.9649913479	719.9034444
426	0.9650057872	719.7549673
427	0.9650199697	719.609101
428	0.9650468313	719.3327502
429	0.9650611216	719.1856886
430	0.9650788737	719.0029594
431	0.9650955257	718.8315126
432	0.9651104161	718.6781675
433	0.9651206741	718.5725097
434	0.9651330823	718.4446828
435	0.9651487487	718.2832593
436	0.9651614427	718.152436
437	0.9651734519	718.0286476
438	0.9651893537	717.8647032
439	0.9652033829	717.7200334
440	0.9652170358	717.5792166
441	0.9652376337	717.3667157
442	0.9652551343	717.1861194
443	0.9652774973	716.9552793
444	0.9653562273	716.1420041
445	0.9653777407	715.9196106
446	0.9654103825	715.5820472
447	0.9654233636	715.4477598
448	0.9654451092	715.2227481
449	0.965456158	715.1083943
450	0.9654673307	714.9927388
451	0.965479597	714.8657423
452	0.9654890251	714.7681147
453	0.9655072278	714.5795891
454	0.9655206178	714.4408762
455	0.9655316627	714.3264373
456	0.9655433196	714.2056378
457	0.9655593631	714.0393462
458	0.9655711078	713.9175879
459	0.9655842917	713.7808843
460	0.9655989654	713.6287014
461	0.9656152581	713.4596903
462	0.9656288527	713.318637
463	0.9656499229	713.0999642
464	0.9656599636	712.9957351
465	0.9656697891	712.8937257
466	0.9657067733	712.5096196
467	0.9657212113	712.3596144
468	0.965737687	712.1884
469	0.9657521788	712.0377685
470	0.9657670809	711.8828392
471	0.9657791615	711.7572182
472	0.9657864648	711.6812636
473	0.9658001188	711.5392396
474	0.9658135275	711.3997402
475	0.9658293391	711.2352062
476	0.9658412986	711.1107313
477	0.9658513755	711.0058344
478	0.9658610556	710.905053
479	0.965882484	710.6819063
480	0.9658939808	710.5621552
481	0.9659070565	710.4259327
482	0.9659243675	710.2455477
483	0.9659318241	710.1678328
484	0.9659491204	709.9875355
485	0.9659668974	709.8021786
486	0.9659877136	709.5850724
487	0.9660038492	709.4167366
488	0.9660157572	709.2924803
489	0.9660340466	709.1015936
490	0.966048553	708.9501541
491	0.9660629632	708.7996855
492	0.9660782347	708.6401894
493	0.9660886267	708.5316346
494	0.9661089125	708.3196812
495	0.9661313565	708.085104
496	0.9661449634	707.9428512
497	0.966158097	707.8055199
498	0.966180072	707.575678
499	0.9662022417	707.3437245
500	0.9662155236	707.2047235
501	0.9662257497	707.0976849
502	0.9662378286	706.9712321
503	0.9662570613	706.7698395
504	0.9662688486	706.6463818
505	0.966284475	706.4826813
506	0.9662933997	706.3891699
507	0.9663052729	706.2647457
508	0.9663312156	705.9928047
509	0.9663368619	705.9336041
510	0.9663513419	705.7817619
511	0.9663796916	705.4843814
512	0.9663938484	705.3358327
513	0.9664036121	705.2333643
514	0.966414385	705.1202858
515	0.9664242854	705.0163509
516	0.9664406648	704.8443632
517	0.9664557542	704.6858851
518	0.966465888	704.5794333
519	0.9664859641	704.3684941
520	0.9665001282	704.2196336
521	0.9665099131	704.1167795
522	0.966523334	703.9756805
523	0.966533024	703.8737881
524	0.9665443359	703.7548236
525	0.9665580299	703.6107785
526	0.9665664737	703.5219458
527	0.9665755255	703.4267029
528	0.9665816131	703.3626423
529	0.9665995592	703.1737601
530	0.9666099852	703.0640026
531	0.966620647	702.9517463
532	0.9666346932	702.8038277
533	0.9666459027	702.6857597
534	0.96665471	702.5929801
535	0.9666613179	702.5233617
536	0.9666747457	702.3818703
537	0.9666911568	702.2089032
538	0.9666975757	702.14124
539	0.9667057805	702.0547401
540	0.9667226666	701.876684
541	0.9667383591	701.7111732
542	0.9667473351	701.6164854
543	0.9667728528	701.3472275
544	0.966781982	701.2508733
545	0.9667888003	701.1788996
546	0.9668027084	701.032066
547	0.9668235784	700.8116741
548	0.9668387837	700.6510582
549	0.9668562014	700.4670282
550	0.9668649384	700.3746979
551	0.9668759722	700.2580768
552	0.9668859014	700.153115
553	0.9668967224	700.0387083
554	0.9669078005	699.921564
555	0.9669158642	699.8362825
556	0.966925678	699.7324777
557	0.9669313305	699.6726819
558	0.9669414135	699.5660052
559	0.9669496959	699.4783659
560	0.9669588265	699.3817392
561	0.9669682402	699.2821014
562	0.9669756564	699.2035966
563	0.9669867832	699.0857967
564	0.9669969142	698.9785213
565	0.9670021014	698.9235895
566	0.9670186682	698.748118
567	0.9670382539	698.5406142
568	0.9670691187	698.2134864
569	0.9671202553	697.6711671
570	0.9671373878	697.489377
571	0.9671423531	697.436683
572	0.9671570256	697.280946
573	0.9671657135	697.1887147
574	0.9671849502	696.9844529
575	0.9671986812	696.838616
576	0.9672080008	696.7396145
577	0.9672202248	696.6097399
578	0.9672334931	696.4687414
579	0.9672470612	696.3245279
580	0.9672536906	696.2540549
581	0.9672664563	696.1183285
582	0.9672782836	695.9925567
583	0.9672905674	695.861906
584	0.9672972851	695.7904453
585	0.9673166157	695.5847738
586	0.9673340337	695.3993996
587	0.9673449123	695.283597
588	0.9673559749	695.1658164
589	0.9673745425	694.9680869
590	0.9673860181	694.8458531
591	0.9674046744	694.6470868
592	0.967419165	694.4926628
593	0.9674259646	694.4201891
594	0.9674411017	694.2588227
595	0.9674550299	694.1103102
596	0.9674586462	694.0717454
597	0.9674682882	693.9689108
598	0.9674757599	693.8892126
599	0.9674831145	693.8107547
600	0.9674915967	693.7202571
601	0.9675017945	693.6114391
602	0.96750885	693.5361422
603	0.9675163348	693.4562547
604	0.96752494	693.3643976
605	0.9675345371	693.2619371
606	0.9675482051	693.1159897
607	0.9675720467	692.8613351
608	0.967580004	692.7763213
609	0.9675925694	692.6420548
610	0.9676033419	692.5269246
611	0.967611839	692.4360997
612	0.9676207337	692.3410124
613	0.9676260629	692.2840345
614	0.9676439516	692.0927419
615	0.9676548718	691.9759409
616	0.9676593502	691.9280356
617	0.9676697265	691.8170264
618	0.9676815444	691.690572
619	0.9676954272	691.5419943
620	0.9677065623	691.4227999
621	0.9677147699	691.3349289
622	0.9677193788	691.2855809
623	0.9677281336	691.1918333
624	0.9677331695	691.1379022
625	0.9677393568	691.0716348
626	0.9677464275	690.9958982
627	0.9677559735	690.8936347
628	0.9677802219	690.6337998
629	0.9677902648	690.526157
630	0.9678026828	690.3930321
631	0.9678108861	690.3050772
632	0.9678361348	690.034291
633	0.967846234	689.9259502
634	0.9678552782	689.8289125
635	0.9678682188	689.6900445
636	0.9678803364	689.5599842
637	0.9678897723	689.4586896
638	0.9679035995	689.3102272
639	0.9679193389	689.1411946
640	0.9679260239	689.0693895
641	0.9679363716	688.9582268
642	0.9679522138	688.7880034
643	0.9679682034	688.6161528
644	0.9679850982	688.4345278
645	0.9679913311	688.3675093
646	0.968000299	688.2710729
647	0.9680038864	688.2324918
648	0.9680110797	688.1551234
649	0.9680163951	688.0979481
650	0.9680229881	688.0270229
651	0.9680281497	687.9714912
652	0.9680375239	687.870627
653	0.9680530649	687.703376
654	0.9680596641	687.6323439
655	0.9680652597	687.572108
656	0.9680721504	687.4979237
657	0.9680838368	687.3720915
658	0.968088176	687.3253644
659	0.9680987901	687.2110496
660	0.9681123987	687.0644571
661	0.968121247	686.9691259
662	0.9681285168	686.8907909
663	0.9681396707	686.7705865
664	0.9681454281	686.7085322
665	0.9681580385	686.5725933
666	0.9681682174	686.4628469
667	0.9681790903	686.3455979
668	0.9681849365	686.2825466
669	0.9681938501	686.1864023
670	0.9681997165	686.1231181
671	0.9682128521	685.9813971
672	0.9682238795	685.8623984
673	0.9682310691	685.7848029
674	0.9682401509	685.6867727
675	0.9682450409	685.6339836
676	0.9682576424	685.497928
677	0.968268267	685.3831964
678	0.9682776611	685.2817362
679	0.9682920222	685.1266006
680	0.9683010435	685.0291301
681	0.9683124708	684.9056443
682	0.9683196564	684.8279837
683	0.9683325754	684.6883356
684	0.9683388098	684.6209344
685	0.9683460218	684.5429562
686	0.9683512771	684.4861292
687	0.9683580398	684.4129944
688	0.9683709167	684.2737179
689	0.9683822005	684.1516482
690	0.9683877436	684.091674
691	0.9683935384	684.0289707
692	0.9683970098	683.9914057
693	0.9684021592	683.9356785
694	0.9684118949	683.8303058
695	0.968419903	683.7436189
696	0.9684266076	683.6710341
697	0.9684448784	683.4731939
698	0.9684507018	683.4101247
699	0.968458577	683.3248238
700	0.9684717984	683.1815926
701	0.968479205	683.1013415
702	0.9684818913	683.072233
703	0.9684894358	682.9904742
704	0.968506185	682.8089304
705	0.9685274998	682.5778317
706	0.9685362809	682.4826025
707	0.9685435777	682.4034601
708	0.9685522726	682.3091414
709	0.9685638148	682.1839165
710	0.968572123	682.0937642
711	0.9685781921	682.0279011
712	0.9685832793	681.9726881
713	0.9685899847	681.8999059
714	0.9685944016	681.8519602
715	0.9686041606	681.746012
716	0.9686097447	681.6853815
717	0.9686162403	681.6148472
718	0.9686263617	681.5049262
719	0.968635496	681.4057107
720	0.9686385495	681.3725408
721	0.9686488563	681.2605666
722	0.9686553963	681.189505
723	0.9686573979	681.1677549
724	0.9686649699	681.0854698
725	0.9686697031	681.0340282
726	0.9686754383	680.9716911
727	0.9686838017	680.880778
728	0.9686979964	680.7264492
729	0.968704208	680.6589037
730	0.96871456	680.5463208
731	0.9687224742	680.460237
732	0.9687295263	680.3835216
733	0.9687362404	680.3104753
734	0.968745212	680.212856
735	0.9687470614	680.1927303
736	0.9687577233	680.0766974
737	0.9687655346	679.9916738
738	0.9687710182	679.9319815
739	0.9687755793	679.8823259
740	0.9687828054	679.8036504
741	0.9687851904	679.7776818
742	0.9687872813	679.7549138
743	0.9687934772	679.6874427
744	0.968801922	679.5954716
745	0.9688060541	679.5504656
746	0.9688172097	679.4289441
747	0.9688234703	679.3607357
748	0.9688281902	679.3093084
749	0.9688620689	678.9400581
750	0.9688646321	678.9121136
751	0.9688743715	678.8059205
752	0.9688798258	678.7464424
753	0.9688860738	678.6783037
754	0.9688938376	678.5936229
755	0.9688978982	678.5493298
756	0.9689040794	678.4818993
757	0.9689129043	678.3856176
758	0.9689174493	678.3360251
759	0.9689250085	678.2535348
760	0.9689341873	678.1533579
761	0.9689474665	678.008403
762	0.9689549696	677.9264856
763	0.9689591072	677.8813075
764	0.9689743628	677.7147094
765	0.9689786658	677.6677112
766	0.9689844899	677.6040938
767	0.9689892382	677.5522229
768	0.9689987432	677.4483781
769	0.9690040295	677.3906167
770	0.9690138654	677.2831299
771	0.9690242398	677.1697411
772	0.9690309333	677.096573
773	0.9690384901	677.0139583
774	0.9690454395	676.9379753
775	0.9690542095	676.8420741
776	0.9690591416	676.7881339
777	0.9690681925	676.6891386
778	0.9690840235	676.5159509
779	0.9690910093	676.4395136
780	0.9691005204	676.3354309
781	0.9691083155	676.2501152
782	0.9691129939	676.1989055
783	0.9691187245	676.1361737
784	0.9691276845	676.0380786
785	0.9691384362	675.9203481
786	0.9691460969	675.8364527
787	0.9691532981	675.7575786
788	0.9691655779	675.6230589
789	0.9691763112	675.5054582
790	0.9691827395	675.4350162
791	0.9691878044	675.3795082
792	0.9691960124	675.2895457
793	0.9692024854	675.2185918
794	0.9692095713	675.1409095
795	0.9692305047	674.9113678
796	0.9692369826	674.8403191
797	0.9692415298	674.7904418
798	0.9692572098	674.618424
799	0.9692694476	674.4841377
800	0.969274884	674.4244752
801	0.9692793629	674.3753159
802	0.9692850001	674.3134399
803	0.9692956788	674.1962099
804	0.9693030175	674.1156349
805	0.9693059851	674.0830491
806	0.9693106882	674.0314044
807	0.9693192881	673.9369575
808	0.969322158	673.905436
809	0.969332575	673.791011
810	0.9693395806	673.7140466
811	0.9693530377	673.5661809
812	0.9693576301	673.5157131
813	0.969378737	673.2837098
814	0.9693850939	673.2138201
815	0.9693871191	673.1915521
816	0.9694012178	673.0365165
817	0.9694065083	672.9783296
818	0.9694179915	672.8520177
819	0.9694231184	672.795616
820	0.9694289921	672.7309917
821	0.9694381522	672.6301974
822	0.9694429464	672.5774385
823	0.9694496351	672.5038238
824	0.9694633485	672.3528702
825	0.9694720447	672.2571276
826	0.9694784606	672.1864816
827	0.969493069	672.0255995
828	0.9695001768	671.9473068
829	0.9695049497	671.8947286
830	0.969514399	671.790623
831	0.9695290367	671.6293223
832	0.9695350862	671.5626491
833	0.9695444165	671.4598038
834	0.9695492995	671.4059734
835	0.9695540837	671.3532281
836	0.96955923	671.296486
837	0.9695683939	671.1954339
838	0.9695750389	671.1221503
839	0.9695846295	671.0163657
840	0.9695914084	670.9415841
841	0.9695987493	670.8605934
842	0.9696132446	670.7006412
843	0.9696172889	670.6560065
844	0.9696236289	670.5860304
845	0.9696264067	670.5553683
846	0.9696330959	670.4815251
847	0.9696403666	670.4012546
848	0.9696469705	670.3283373
849	0.9696546176	670.2438907
850	0.9696587691	670.1980415
851	0.9696661026	670.1170437
852	0.9696738062	670.0319463
853	0.9696791405	669.9730151
854	0.9696837594	669.9219837
855	0.9696896457	669.8569432
856	0.9696937828	669.8112262
857	0.9697016668	669.7240975
858	0.969706911	669.6661347
859	0.9697140499	669.5872226
860	0.9697194111	669.5279553
861	0.969723794	669.4794992
862	0.9697283573	669.4290441
863	0.9697329734	669.3780017
864	0.9697363748	669.3403885
865	0.9697398294	669.3021846
866	0.9697445376	669.250114
867	0.9697537401	669.1483273
868	0.9697604453	669.0741525
869	0.9697634376	669.0410484
870	0.9697694236	668.9748189
871	0.969773433	668.9304553
872	0.9697806931	668.8501159
873	0.9697844687	668.808331
874	0.969792045	668.7244767
875	0.9697953099	668.6883373
876	0.9698036553	668.5959533
877	0.9698105678	668.519422
878	0.9698170054	668.4481411
879	0.9698223823	668.3885989
880	0.9698264386	668.343676
881	0.969849782	668.0850983
882	0.9698541325	668.0368963
883	0.9698595947	667.9763725
884	0.9698654463	667.9115272
885	0.9698727189	667.8309264
886	0.9698774799	667.7781554
887	0.969890638	667.6322904
888	0.9698986283	667.5436973
889	0.9699038104	667.4862351
890	0.9699175243	667.3341408
891	0.9699243665	667.2582451
892	0.969931532	667.1787532
893	0.9699339139	667.1523266
894	0.9699396468	667.0887192
895	0.9699423947	667.058228
896	0.9699513687	666.9586419
897	0.9699555911	666.9117797
898	0.9699593086	666.870519
899	0.9699708063	666.7428892
900	0.9699754129	666.6917468
901	0.9699798781	666.6421699
902	0.96998968	666.5333284
903	0.9699968281	666.4539427
904	0.9700033006	666.3820535
905	0.9700091687	666.3168694
906	0.9700155374	666.2461179
907	0.9700213403	666.1816453
908	0.9700277306	666.1106398
909	0.9700323537	666.0592648
910	0.9700387217	665.9884944
911	0.9700433052	665.9375508
912	0.9700503086	665.8597032
913	0.9700559815	665.7966382
914	0.9700603223	665.7483785
915	0.9700676025	665.667431
916	0.9700781081	665.5506034
917	0.9700845095	665.4794066
918	0.9700883547	665.4366363
919	0.9700958933	665.3527762
920	0.9701064494	665.2353316
921	0.9701109274	665.1855048
922	0.9701134437	665.1575032
923	0.9701186207	665.0998915
924	0.9701223495	665.0583921
925	0.9701272964	665.0033325
926	0.9701386465	664.876987
927	0.9701437767	664.8198712
928	0.9701493474	664.7578456
929	0.9701537551	664.7087655
930	0.9701579249	664.6623307
931	0.9701612434	664.6253739
932	0.9701667478	664.5640689
933	0.9701725847	664.4990549
934	0.9701775143	664.4441413
935	0.9701829022	664.3841168
936	0.9701887119	664.3193879
937	0.9701943971	664.2560402
938	0.9702042303	664.1464587
939	0.9702079721	664.1047547
940	0.9702142029	664.0353053
941	0.9702202761	663.9676047
942	0.9702220176	663.9481893
